date,title,venue,city,description
Fri Feb 22,Sango Savon & Anik Khan @ Elsewhere (Hall),Elsewhere (Hall) ,New York,ONSALE: FRIDAY 10/18 10AM ESTDOOR: $30Elsewhere is intended to be a safe space to enjoy music art expression and free play. Elsewhere reserves the right to deny remove and/or ban any customer deemed to be disrespecting our zero-tolerance harassment policy. Please read our full policy at: https://bit.ly/2VxByad All ticket sales are final and Elsewhere does not offer refunds for any reason except event cancellation or reschedule. Opening performers door times and set times are subject to change without notice. All ticket holders must present a valid US government-issued ID or passport upon entering and Elsewhere reserves the right to refuse entry without refund to anyone who does not have a valid ID or meet the event's age requirement. Please note that Elsewhere does not accept foreign IDs of any kind other than passports. Elsewhere does not guarantee the validity or use for admittance of tickets purchased via 3rd party resellers of any kind.
Sat Nov 30,Ladies Night at Ravel Penthouse 808 Saturdays Everyone FREE (Gametight),Penthouse808  Queens ,New York,not available
Sun Dec 8,The A-List Holiday Gala,Queens  Queens ,New York,not available
Mon Dec 9,"HERITAGE: Daniel ""Dapper Dan"" Day",Schomburg Center for Research in Black Culture ,New York,not available
Wed Mar 13,Subtronics w/ HE$H,Great Hall - Avant Gardner ,New York,Philly dub producer Subtronics brings the heavy bass to Avant Gardner for his 'Cyclops Invasion Tour' this spring on March 13th with support from He$h Chee Bommer + Level Up.19+---A limited number of tables are available. To make a reservation please email reservations@avant-gardner.com.Visiting Brooklyn for the big event? Here’s a bevy of accommodation options for a comfy stay: bit.ly/BKRoomsEvents at Avant Gardner may contain flashing lights and strobe effects which affect photosensitive individuals.
Fri Dec 6,Chadwick Stokes & the Pintos,Bowery Ballroom ,New York,Tickets on sale Fri 9/27 at 12pm ESTSpotify Presale: Weds 9/25 at 10am - Thurs 9/26 at 10pm ESTCiti® Cardmember Presale: Weds 9/25 at 10am - Thurs 9/26 at 10pm ESTCode: Use the first six digits of your Citi® card.$1 per ticket will donated to Calling All Crows. More info at http://www.callingallcrows.org
Wed Dec 11,Renzo Piano on Designing an Inclusive City,The Forum at Columbia University ,New York,Renzo Piano the Pritzker Prize-winning architect behind the first new buildings on Columbia’s Manhattanville campus will reflect on the role of architecture in creating more inclusive cities. Speaking at the Forum one of his three Manhattanville buildings he will discuss how architecture can create more open permeable neighborhoods provide arenas for cross-cutting exchanges and opportunities and enrich civic life. Offering contemplations on democracy and participation alongside examples of his work Piano will discuss how architecture can address particular needs while also pointing toward models of thinking and doing that are more generalizable and dynamic.This event is organized by Columbia World Projects and co-presented with the Graduate School of Architecture Planning and Preservation and the School of the Arts.Check-in will begin 45 minutes prior to start time. Online registration is required and seating is limited on a first-come first-served basis early arrival is suggested.Photo credit Stephano Goldberg.
Wed Nov 27,Give Thanks,Sanders Studios ,New York,GIVE THANKSThanksgiving WednesdayNovember 27th9PM-3AM_____________________________________________________________________________________Riggo Suave & DJ FiremanEZ SoundsKevin CrownNoah Powa & DJ PolishDJ Liquee_____________________________________________________________________________________Table/Birthday/Cabana Packages Available$100 Bottles before Midnight
Wed Feb 6,DIJON,Bowery Ballroom ,New York,Tickets on sale Fri 11/08 at 10am ESTArtist Presale: Tues 11/05 at 1pm - Fri 11/08 at 1am ESTSpotify Presale: Weds 11/06 at 1pm - Fri 11/08 at 1am EST
Mon Jan 28,Phora – Love Yourself Tour,Bowery Ballroom ,New York,Tickets on sale Fri 11/01 at 12pm ESTVIP Packages on sale Weds 10/30 at 10am ESTCiti® Cardmember Presale: Weds 10/30 at 10am - Thurs10/31 at 10pm ESTCode: Use the first six digits of your Citi® card.
Thu Feb 14,FREE FIFI FASHION WEEK,WATSON HOTEL ,New York,FIFI FASHION WEEK SHOW (FASHION INDUSTRY FINEST INDEPENDENT designers. This event is sponsored by Fashion Avenue News MagazineAbout this EventThis World Wide event features established and emerging fashion industry talent. The show is professionally run and last exactly one hour and 15 mins. We have models from all over. We start on time. This is a great show.
Wed Nov 27,Thank You For Everything: Thanksgiving Eve,House of Yes ,New York,not available
Mon Dec 16,SVG Summit, Hilton Midtown ,New York,not available
Fri Dec 6,Sir Roger Penrose in Conversation with Janna Levin,Pioneer Works ,New York,Sir Roger Penrose was knighted by Queen Elizabeth II for his remarkable contributions to mathematics and physics. He is one of only twenty-two living recipients of the honor. Sir Roger as he is fondly known to other physicists is a relentlessly creative genius of the highest order. He has contributed profoundly to the structure of spacetime and geometry black holes the unification of quantum mechanics and gravity and the origin of our universe. His radical ideas on consciousness have provoked controversy and fascination while his playful geometric tilings were thought to be impossible in reality. Though intuition defying Penrose tilings ignited the imaginations of filmmakers and artists and ultimately were discovered in nature. Join Pioneer Works Director of Sciences Janna Levin as she hosts Sir Roger Penrose in a conversation that will stretch across the universe theories of consciousness and infinity. Join us after the conversation for a book signing with Sir Penrose. Books will be available for purchase at the event. Weather permitting there will also be stargazing with the Amateur Astronomers Association of NY in our garden.Sir Roger Penrose Order of Merit and Fellow of the Royal Society is presently Emeritus Rouse Ball Professor of Mathematics at the University of Oxford and an Emeritus Fellow at Wadham College. He won among many other awards the Wolf Prize in Physics which he shared with Stephen Hawking for the Hawking-Penrose Singularity Theorems. Janna Levin is the Chair and Director of the Science Studios at Pioneer Works. She is the Claire Tow Professor of physics and astronomy at Barnard College of Columbia University. Janna is a Guggenheim Fellow and a PEN-award winning novelist for a first work of fiction. She is the presenter of the NOVA feature Black Hole Apocalypse aired on PBS—the first female presenter for NOVA in 35 years.This project is supported by Science Sandbox a Simons Foundation initiative dedicated to engaging everyone with the process of science.
Fri Feb 1,Free Model Casting Call - Le Coiffeur Style the Runway 2020 - LCSTR,CHELSEA STUDIOS ,New York,Female Models must be between the ages of 15 to 35 years old and height 5-8 and up and dress size 0 to 18.AUDITION ATTIRE:WOMEN - Wear Fitted Skinny Jeans and Fitted All White Top with Minimum 3 inch Stiletto Heels.Female Models must be between the ages of 16 to 33 years old and height 5-8 and up and dress size 0 to 18.MALE:Attire: Tank top and black jeans or slacks. No sneakers! height 5'9 and upComp cards or professional head shots/full body shots are required. Arrive on time.No entourage.No children allowed inside the audition room
Sat Nov 30,New York - Vegan Christmas Market,See Description for Location Address  ,New York,Open to the general public the Vegan Christmas Market features a curated group of vendors offering a wide range of vegan products. All made without animal exploitation attendees will find among these products pastries chocolate treats cosmetic products artisanal soaps clothing and more.The Vegan Christmas Market was created to encourage the public to shop in a manner that underlines the essence of the Holidays which is a celebration of peace love and compassion for all beings humans as well as animals.The 2019 Vegan Christmas Market will take place in New York Montreal and Toronto.LOCATION:NYC :   342 W 37th Street New York NY 10018TICKETS OPTIONS:  General  // VIP // ADVANCE ACCESS PASS General Admission :   FREE  access to both days Saturday Nov. 30 2019  :   11 a.m. to 6 p.m. Sunday Dec. 1 2019  :  10 a.m. to 5 p.m. VIP  Tickets :   $8 (plus eventbrite & processing fees) -- VIP tickets include a gift vegan beanie : 1 classic style knit beanie with cuff in black color embroidered with leaf logo. Vegan warm designed and ethically Made in Canada. One Size. Reg. value $27. 100% Acrylic.  Plus you will also get : - Access to both days + 1 hour of advance shopping time from 10 a.m. on Saturday Nov. 30th.Saturday Nov. 30 2019  :   10 a.m. to 6 p.m. Sunday Dec. 1 2019  :  10 a.m. to 5 p.m. - Automatic enrollment in our VIP prize draws (Winners will be notified before Nov. 30th and must pick up their prize during opening hours of the Vegan Christmas Market.)- Exclusive promotions or discounts by some vendors.Advance Access  Pass :   $4 (plus eventbrite & processing fees) - Access to both days + 1 hour of advance shopping time from 10 a.m. on Saturday Nov. 30th.Saturday Nov. 30 2019  :   10 a.m. to 6 p.m. Sunday Dec. 1 2019  :  10 a.m. to 5 p.m. - Automatic enrollment in our VIP prize draws (Winners will be notified before Nov. 30th and must pick up their prize during opening hours of the Vegan Christmas Market.)- Exclusive promotions or discounts by some vendors.Limited quantity. ------------------------------------------------------OUR REFUND & EXCHANGE POLICYAll sales final non-exchangeable  and non-refundable. VIP tickets and Advance Access Passes are refundable only in the event that the Market organizers cancel the event or if the gift item (in the case of VIP tickets) is unavailable.********************************************************
